Date,Price USD per Oz,Price INR per Gm
2009-01,857.726,2264.61811
2009-02,939.763,2481.216972
2009-03,925.989,2444.850056
2009-04,892.663,2356.860811
2009-05,926.855,2447.136519
2009-06,947.807,2502.455209
2009-07,934.272,2466.719314
2009-08,949.5,2506.925166
2009-09,996.443,2630.866807
2009-10,1043.511,2755.13848
2009-11,1126.119,2973.24493
2009-12,1135.012,2996.724746
2010-01,1119.575,2955.967081
2010-02,1095.8,2893.194942
2010-03,1115.554,2945.350602
2010-04,1148.475,3032.270543
2010-05,1204.321,3179.718402
2010-06,1232.382,3253.806688
2010-07,1196,3157.748814
2010-08,1213.464,3203.858283
2010-09,1271.461,3356.985338
2010-10,1343.19,3546.368419
2010-11,1371.784,3621.863962
2010-12,1393.512,3679.231493
2011-01,1360.475,3592.005282
2011-02,1371.313,3620.620401
2011-03,1422.848,3756.686107
2011-04,1474.431,3892.878546
2011-05,1512.188,3992.566775
2011-06,1528.38,4035.317836
2011-07,1568.526,4141.313642
2011-08,1759.5,4645.534313
2011-09,1780.648,4701.370493
2011-10,1667.893,4403.668179
2011-11,1735.977,4583.427519
2011-12,1652.725,4363.620743
2012-01,1656.095,4372.518413
2012-02,1743.095,4602.220877
2012-03,1675.057,4422.582989
2012-04,1648.539,4352.568622
2012-05,1585.114,4185.110245
2012-06,1595.632,4212.880481
2012-07,1592.784,4205.361026
2012-08,1625.682,4292.22024
2012-09,1741.925,4599.131775
2012-10,1746.348,4610.809637
2012-11,1724.352,4552.734517
2012-12,1687.342,4455.018561
2013-01,1671.886,4414.21073
2013-02,1630.688,4305.437373
2013-03,1591.013,4200.685128
2013-04,1485.905,3923.172869
2013-05,1416.143,3738.983176
2013-06,1342.7,3545.074693
2013-07,1284.348,3391.010346
2013-08,1345.048,3551.274019
2013-09,1348.464,3560.293141
2013-10,1314.402,3470.360666
2013-11,1277.417,3372.710716
2013-12,1221.588,3225.307741
2014-01,1243.068,3282.020487
2014-02,1298.713,3428.937655
2014-03,1336.56,3528.863507
2014-04,1299.175,3430.157454
2014-05,1288.913,3403.063125
2014-06,1277.857,3373.87243
2014-07,1312.989,3466.629981
2014-08,1297.005,3424.428094
2014-09,1241.33,3277.431718
2014-10,1223.565,3230.527531
2014-11,1176.413,3106.034076
2014-12,1200.44,3169.47156
2015-01,1249.333,3298.561705
2015-02,1231.1,3250.421877
2015-03,1180.636,3117.183887
2015-04,1198.253,3163.697316
2015-05,1197.684,3162.195009
2015-06,1182.248,3121.439983
2015-07,1131.58,2987.66338
2015-08,1117.525,2950.554551
2015-09,1124.905,2970.039657
2015-10,1157.123,3055.103496
2015-11,1088.388,2873.625348
2015-12,1068.317,2820.632725
2016-01,1095.655,2892.812104
2016-02,1194.893,3154.826048
2016-03,1246.312,3290.585485
2016-04,1241.452,3277.75383
2016-05,1259.755,3326.078476
2016-06,1273.58,3362.580046
2016-07,1337.429,3531.157892
2016-08,1340.861,3540.219258
2016-09,1326.618,3502.61406
2016-10,1268.929,3350.300205
2016-11,1240.293,3274.693771
2016-12,1152.165,3042.013095
2017-01,1192.648,3148.898668
2017-02,1233.39,3256.468068
2017-03,1231.063,3250.324187
2017-04,1267.15,3345.603185
2017-05,1245.25,3287.781531
2017-06,1261.277,3330.096949
2017-07,1235.1,3260.98291
2017-08,1281.72,3384.071747
2017-09,1317.045,3477.338868
2017-10,1280.677,3381.317958
2017-11,1283.189,3387.950287
2017-12,1265.674,3341.706164
2018-01,1332.809,3518.959899
2018-02,1333.775,3521.510388
2018-03,1325.562,3499.825948
2018-04,1335.332,3525.62127
2018-05,1303.618,3441.888121
2018-06,1282.126,3385.143692
2018-07,1238.064,3268.808635
2018-08,1201.859,3173.218087
2018-09,1199.198,3166.19236
2018-10,1214.726,3207.190289
2018-11,1221.275,3224.48134
2018-12,1249.887,3300.024408
2019-01,1291.63,3410.236706
2019-02,1319.755,3484.493968
2019-03,1302.286,3438.371298
2019-04,1287.65,3399.728478
2019-05,1282.46,3386.025538
2019-06,1358.488,3586.759089
2019-07,1414.611,3734.9383
2019-08,1497.102,3952.73584
2019-09,1510.336,3987.677017
2019-10,1494.765,3946.565557
2019-11,1471.921,3886.251498
2019-12,1480.025,3907.648151
2020-01,1560.668,4120.566493
2020-02,1598.818,4221.292344
2020-03,1593.764,4207.948479
2020-04,1680.03,4435.712993
2020-05,1715.697,4529.883083
2020-06,1734.032,4578.292217
2020-07,1840.807,4860.205787
